Date,Close
14/12/2016,7862
15/12/2016,7812
16/12/2016,7762
17/12/2016,7712
18/12/2016,7662
19/12/2016,7612
20/12/2016,7562
21/12/2016,7512
22/12/2016,7462
26/12/2016,7412
27/12/2016,7362
28/12/2016,7312
29/12/2016,7262
30/12/2016,7212
31/12/2016,7379
01/01/2017,7329
02/01/2017,7279
03/01/2017,7229
04/01/2017,7342
05/01/2017,7292
06/01/2017,7392
07/01/2017,7342
08/01/2017,7292
09/01/2017,7242
10/01/2017,7192
11/01/2017,7142
12/01/2017,7187
14/01/2017,7137
15/01/2017,7187
16/01/2017,7137
17/01/2017,7087
18/01/2017,7037
19/01/2017,6987
20/01/2017,6937
21/01/2017,6977
23/01/2017,6927
24/01/2017,6877
25/01/2017,6827
26/01/2017,6777
28/01/2017,6727
29/01/2017,6677
31/01/2017,6627
01/02/2017,6577
02/02/2017,6527
03/02/2017,6477
04/02/2017,6427
05/02/2017,6602
06/02/2017,6552
07/02/2017,6690
08/02/2017,6640
09/02/2017,6590
10/02/2017,6540
12/02/2017,6585
13/02/2017,6535
14/02/2017,6485
15/02/2017,6560
16/02/2017,6510
17/02/2017,6460
18/02/2017,6598
19/02/2017,6548
20/02/2017,6498
21/02/2017,6448
22/02/2017,6398
23/02/2017,6348
24/02/2017,6298
25/02/2017,6248
26/02/2017,6198
27/02/2017,6148
28/02/2017,6098
01/03/2017,6048
02/03/2017,5998
03/03/2017,5948
06/03/2017,5898
07/03/2017,5848
08/03/2017,5798
09/03/2017,5748
10/03/2017,5698
11/03/2017,5648
12/03/2017,5598
13/03/2017,5711
14/03/2017,5661
15/03/2017,5611
16/03/2017,5561
17/03/2017,5511
18/03/2017,5461
20/03/2017,5411
21/03/2017,5361
22/03/2017,5311
23/03/2017,5261
24/03/2017,5211
25/03/2017,5324
26/03/2017,5364
27/03/2017,5314
28/03/2017,5264
29/03/2017,5214
30/03/2017,5164
31/03/2017,5114
01/04/2017,5064
02/04/2017,5014
03/04/2017,5089
04/04/2017,5039
05/04/2017,4989
06/04/2017,4939
07/04/2017,4889
08/04/2017,4839
09/04/2017,4789
10/04/2017,4739
11/04/2017,4689
12/04/2017,4639
13/04/2017,4589
14/04/2017,4789
15/04/2017,4739
16/04/2017,4827
17/04/2017,4777
18/04/2017,4727
19/04/2017,4677
20/04/2017,4627
21/04/2017,4877
23/04/2017,5052
24/04/2017,5002
25/04/2017,5090
26/04/2017,5203
27/04/2017,5153
28/04/2017,5228
29/04/2017,5178
30/04/2017,5259
01/05/2017,5609
02/05/2017,5559
03/05/2017,5509
04/05/2017,5564
05/05/2017,5609
06/05/2017,5559
07/05/2017,5509
08/05/2017,5459
09/05/2017,5409
11/05/2017,5359
12/05/2017,5309
13/05/2017,5259
14/05/2017,5209
15/05/2017,5159
16/05/2017,5214
17/05/2017,5164
18/05/2017,5114
19/05/2017,5252
20/05/2017,5340
21/05/2017,5290
22/05/2017,5240
23/05/2017,5353
25/05/2017,5578
26/05/2017,5528
27/05/2017,5478
30/05/2017,5428
31/05/2017,5378
01/06/2017,5328
02/06/2017,5653
03/06/2017,5603
04/06/2017,5553
05/06/2017,5678
06/06/2017,5628
08/06/2017,5578
09/06/2017,5528
10/06/2017,5478
11/06/2017,5428
13/06/2017,5378
14/06/2017,5328
15/06/2017,5409
16/06/2017,5503
17/06/2017,5453
18/06/2017,5403
19/06/2017,5353
20/06/2017,5303
22/06/2017,5253
23/06/2017,5203
24/06/2017,5153
25/06/2017,5203
26/06/2017,5341
27/06/2017,5291
28/06/2017,5241
30/06/2017,5354
01/07/2017,5304
02/07/2017,5385
03/07/2017,5510
04/07/2017,5460
05/07/2017,5410
07/07/2017,5360
08/07/2017,5310
09/07/2017,5260
10/07/2017,5210
11/07/2017,5160
12/07/2017,5110
13/07/2017,5060
14/07/2017,5154
15/07/2017,5404
16/07/2017,5354
17/07/2017,5304
18/07/2017,5254
19/07/2017,5335
20/07/2017,5429
23/07/2017,5379
24/07/2017,5329
25/07/2017,5279
26/07/2017,5417
27/07/2017,5367
28/07/2017,5436
29/07/2017,5386
30/07/2017,5336
31/07/2017,5286
01/08/2017,5236
02/08/2017,5186
03/08/2017,5136
04/08/2017,5086
05/08/2017,5036
06/08/2017,4986
07/08/2017,4936
08/08/2017,4886
09/08/2017,4836
10/08/2017,4786
11/08/2017,4736
12/08/2017,4786
13/08/2017,4736
15/08/2017,4686
16/08/2017,4636
18/08/2017,4861
19/08/2017,4811
20/08/2017,4761
21/08/2017,4711
23/08/2017,4936
24/08/2017,4886
25/08/2017,4836
26/08/2017,4786
27/08/2017,4736
28/08/2017,4686
29/08/2017,4636
30/08/2017,4736
31/08/2017,4686
01/09/2017,4780
02/09/2017,4730
04/09/2017,4680
05/09/2017,4630
06/09/2017,4718
07/09/2017,4668
08/09/2017,4618
09/09/2017,4568
10/09/2017,4518
11/09/2017,4468
12/09/2017,4418
13/09/2017,4368
14/09/2017,4318
16/09/2017,4268
17/09/2017,4218
18/09/2017,4343
19/09/2017,4293
20/09/2017,4243
21/09/2017,4193
22/09/2017,4143
23/09/2017,4093
24/09/2017,4043
25/09/2017,3993
26/09/2017,4131
27/09/2017,4081
28/09/2017,4031
29/09/2017,4156
30/09/2017,4106
01/10/2017,4056
02/10/2017,4222
03/10/2017,4335
04/10/2017,4285
05/10/2017,4235
06/10/2017,4185
07/10/2017,4310
08/10/2017,4260
09/10/2017,4460
10/10/2017,4410
11/10/2017,4360
12/10/2017,4415
13/10/2017,4365
14/10/2017,4315
15/10/2017,4265
16/10/2017,4215
17/10/2017,4165
18/10/2017,4115
19/10/2017,4065
20/10/2017,4015
21/10/2017,3965
22/10/2017,3915
23/10/2017,3865
24/10/2017,3815
25/10/2017,3765
26/10/2017,3715
27/10/2017,3803
28/10/2017,3884
29/10/2017,4209
30/10/2017,4159
31/10/2017,4109
01/11/2017,4276
02/11/2017,4226
03/11/2017,4176
04/11/2017,4126
05/11/2017,4076
06/11/2017,4026
07/11/2017,3976
08/11/2017,3926
09/11/2017,3876
10/11/2017,3826
11/11/2017,3776
12/11/2017,3726
13/11/2017,3676
14/11/2017,3626
15/11/2017,3576
16/11/2017,3526
17/11/2017,3476
18/11/2017,3557
19/11/2017,3602
20/11/2017,3552
21/11/2017,3502
22/11/2017,3452
23/11/2017,3402
24/11/2017,3490
25/11/2017,3440
26/11/2017,3390
27/11/2017,3340
28/11/2017,3409
29/11/2017,3359
30/11/2017,3309
01/12/2017,3259
02/12/2017,3409
03/12/2017,3509
04/12/2017,3459
05/12/2017,3409
06/12/2017,3359
07/12/2017,3309
08/12/2017,3259
09/12/2017,3959
11/12/2017,3909
13/12/2017,3859
14/12/2017,3809
15/12/2017,3922
16/12/2017,4172
17/12/2017,4122
18/12/2017,4072
19/12/2017,4022
20/12/2017,3972
21/12/2017,3922
22/12/2017,3872
23/12/2017,3822
26/12/2017,3772
28/12/2017,3872
29/12/2017,3822
30/12/2017,3916
31/12/2017,3866
01/01/2018,3816
02/01/2018,3766
03/01/2018,3866
04/01/2018,3816
06/01/2018,3766
07/01/2018,3716
08/01/2018,3666
09/01/2018,3616
10/01/2018,3566
11/01/2018,3516
12/01/2018,3466
13/01/2018,3416
