le, lx, se, sx, bw, bsdd, bsdu, total_profit
2, 2, 2, 1, 17, 1.00, 1.00, 9628.21
2, 2, 2, 1, 17, 1.00, 1.50, 9632.31
2, 2, 2, 1, 17, 1.50, 1.00, 9649.41
2, 2, 2, 1, 17, 1.50, 1.50, 9653.51
2, 2, 2, 1, 18, 1.00, 1.00, 9636.11
2, 2, 2, 1, 18, 1.00, 1.50, 9635.57
2, 2, 2, 1, 18, 1.50, 1.00, 9657.31
2, 2, 2, 1, 18, 1.50, 1.50, 9656.77
2, 2, 2, 1, 19, 1.00, 1.00, 9643.93
2, 2, 2, 1, 19, 1.00, 1.50, 9637.20
2, 2, 2, 1, 19, 1.50, 1.00, 9663.50
2, 2, 2, 1, 19, 1.50, 1.50, 9656.77
2, 2, 2, 1, 20, 1.00, 1.00, 9655.92
2, 2, 2, 1, 20, 1.00, 1.50, 9644.38
2, 2, 2, 1, 20, 1.50, 1.00, 9668.31
2, 2, 2, 1, 20, 1.50, 1.50, 9656.77
2, 2, 2, 1, 21, 1.00, 1.00, 9658.51
2, 2, 2, 1, 21, 1.00, 1.50, 9644.18
2, 2, 2, 1, 21, 1.50, 1.00, 9674.51
2, 2, 2, 1, 21, 1.50, 1.50, 9660.18
2, 2, 2, 1, 22, 1.00, 1.00, 9665.01
2, 2, 2, 1, 22, 1.00, 1.50, 9641.90
2, 2, 2, 1, 22, 1.50, 1.00, 9683.29
2, 2, 2, 1, 22, 1.50, 1.50, 9660.18
2, 2, 2, 1, 23, 1.00, 1.00, 9666.58
2, 2, 2, 1, 23, 1.00, 1.50, 9640.58
2, 2, 2, 1, 23, 1.50, 1.00, 9687.20
2, 2, 2, 1, 23, 1.50, 1.50, 9661.20
2, 2, 2, 1, 24, 1.00, 1.00, 9658.71
2, 2, 2, 1, 24, 1.00, 1.50, 9632.63
2, 2, 2, 1, 24, 1.50, 1.00, 9683.50
2, 2, 2, 1, 24, 1.50, 1.50, 9657.42
2, 2, 2, 1, 25, 1.00, 1.00, 9647.34
2, 2, 2, 1, 25, 1.00, 1.50, 9618.31
2, 2, 2, 1, 25, 1.50, 1.00, 9680.95
2, 2, 2, 1, 25, 1.50, 1.50, 9651.92
2, 2, 2, 2, 15, 1.00, 1.00, 9563.36
2, 2, 2, 2, 15, 1.00, 1.50, 9559.64
2, 2, 2, 2, 15, 1.50, 1.00, 9572.14
